CTYUA23CD,FID,CTYUA23NM,CTYUA23NMW,BNG_E,BNG_N,LONG,LAT,GlobalID,count,total_count,prev
W06000022,216,Newport,Casnewydd,337897,187432,-2.89769,51.5823,434ebdba-df43-43e1-a165-26bf832ea685,108.0,964.0,0.11203319502074689
W06000019,213,Blaenau Gwent,Blaenau Gwent,318236,206771,-3.18592,51.7536,6b9841f1-e4a9-44da-a8c6-83e5356544ad,59.0,527.0,0.11195445920303605
W06000018,212,Caerphilly,Caerffili,317245,195259,-3.19753,51.65,57595ad3-ec52-462d-a7da-753a64281b23,175.0,1673.0,0.10460251046025104
W06000024,218,Merthyr Tydfil,Merthyr Tudful,305916,206424,-3.36425,51.7486,8a736e60-7966-4531-9f39-53c969bfa3ed,35.0,348.0,0.10057471264367816
W06000015,210,Cardiff,Caerdydd,315272,178887,-3.22209,51.5025,5e447fa7-e398-45c1-8f4d-482426ddb297,566.0,6119.0,0.0924987743095277
