CTYUA23CD,FID,CTYUA23NM,CTYUA23NMW,BNG_E,BNG_N,LONG,LAT,GlobalID,count,total_count,prev
S12000010,168,East Lothian, ,354854,672351,-2.72435,55.9421,f84fa7d0-620b-438d-9c8e-edd1e329af05,31.0,591.0,0.05245346869712352
S12000019,174,Midlothian, ,330088,659217,-3.11738,55.8211,0821d975-6c25-4911-bf5f-21fac1e3b880,25.0,572.0,0.043706293706293704
E08000011,74,Knowsley, ,344762,393778,-2.83297,53.4379,dd57a5f3-67e1-4f69-97dc-522f11801c7e,57.0,1396.0,0.04083094555873926
S12000049,195,Glasgow City, ,261534,667033,-4.21479,55.8765,06d92505-c818-4b29-88a2-be8a9b2af1d8,489.0,12672.0,0.03858901515151515
S12000045,192,East Dunbartonshire, ,261240,676154,-4.22417,55.9583,775c9661-2fe5-4841-9b4d-5bb6cfca94c6,28.0,730.0,0.038356164383561646
